"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"1","26","Brandon McSorley","Sr","P","6-4","R/R",2,0,0,2.1,0,1,0,0,0,3,0,9,9,0,0,0,0,1,0,0,0,0,0,0,20,1,3,0,0,0,1,0,9,0.111111111111111,597157,2025,0.75,0.25,0.333333333333333,0,0.111111111111111,1,0.222222222222222
"2","Succ-Opp against Leadoff Batter","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,0.1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,597157,2025,NA,NA,0.5,0,0,0,0
"3","Hits-AB with runners ob","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,1.1,0,1,0,0,0,2,0,5,5,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,1,0,5,0.2,597157,2025,1,0,0.4,0,0.2,1,0.4
"4","Hits-AB vs lhb","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597157,2025,1,0,0,0,0,0,0
"5","Hits-AB w2outs","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597157,2025,NA,NA,NA,NA,NA,0,NA
"6","Bases Empty","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,4,0,597157,2025,0.5,0.5,0.25,0,0,0,0
"7","H-AB scorepos","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,1.1,0,0,0,0,0,2,0,4,4,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,1,0,4,0,597157,2025,1,0,0.5,0,0,0,0
"8","H-AB scorepos2","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,597157,2025,NA,NA,1,0,0,0,0
"9","H-AB runners2","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,597157,2025,NA,NA,1,0,0,0,0
"10","Hits-AB vs rhb","Brandon McSorley","Sr","P","6-4","R/R",0,0,0,2,0,1,0,0,0,3,0,8,8,0,0,0,0,1,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,8,0.125,597157,2025,0.666666666666667,0.333333333333333,0.375,0,0.125,1,0.25
"11","14","Nicholas Cannata","Sr","P","-","R/R",11,7,5.96,22.2,0,30,20,15,8,22,0,115,92,5,4,0,1,1,10,0,0,0,1,4,396,21,17,0,2,0,4,3,92,0.326086956521739,597157,2025,0.447368421052632,0.552631578947368,0.191304347826087,0.0695652173913043,0.421052631578947,20,0.921052631578947
"12","Succ-Opp against Leadoff Batter","Nicholas Cannata","Sr","P","-","R/R",0,0,0,3.1,0,7,0,0,2,6,0,25,20,1,1,0,1,0,3,0,0,0,0,0,NA,2,2,0,0,0,0,0,20,0.35,597157,2025,0.5,0.5,0.24,0.08,0.48,4,1.13
"13","Hits-AB with runners ob","Nicholas Cannata","Sr","P","-","R/R",0,0,0,17.2,0,19,0,0,2,14,0,78,70,3,2,0,0,1,5,0,0,0,0,0,NA,13,15,0,0,0,4,0,71,0.267605633802817,597157,2025,0.535714285714286,0.464285714285714,0.17948717948718,0.0256410256410256,0.333333333333333,14,0.699530516431925
"14","Hits-AB vs lhb","Nicholas Cannata","Sr","P","-","R/R",0,0,0,2.1,0,8,0,0,1,3,0,15,14,1,3,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,14,0.571428571428571,597157,2025,0.5,0.5,0.2,0.0666666666666667,0.6,4,1.67142857142857
"15","Hits-AB w2outs","Nicholas Cannata","Sr","P","-","R/R",0,0,0,0,0,9,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,9,Inf
"16","Bases Empty","Nicholas Cannata","Sr","P","-","R/R",0,0,0,5,0,11,0,0,6,8,0,40,29,2,2,0,1,0,5,0,0,0,0,0,NA,5,2,0,0,0,0,0,29,0.379310344827586,597157,2025,0.285714285714286,0.714285714285714,0.2,0.15,0.55,6,1.23965517241379
"17","H-AB scorepos","Nicholas Cannata","Sr","P","-","R/R",0,0,0,10,0,14,0,0,1,7,0,47,44,1,2,0,0,0,2,0,0,0,0,0,NA,6,11,0,0,0,1,0,44,0.318181818181818,597157,2025,0.647058823529412,0.352941176470588,0.148936170212766,0.0212765957446809,0.361702127659574,11,0.793520309477756
